RESPID,PHTYPE,economic_situation,registered_vote,likely_to_vote,vote_choice_undecided,approve_trump,approve_biden,optimistic,elec_enthusiasm,party,party_unaffiliated,political_leaning,education,age,age_bin,latino,race,gender,state,FINALWGT,vote_choice,vote_choice_recoded,party_recoded,age_recoded,race_recoded,male,education_recoded,region
345,2,2,True,1.0,,False,False,True,3.0,1,,2,3,46,,False,1,1,12,1.11950649372,1.0,1.0,1.0,2.0,1,True,1,3
348,2,1,False,,,False,False,False,,1,,2,1,82,,False,1,1,13,1.23952190814,,,1.0,3.0,1,True,1,3
350,2,1,True,1.0,,False,False,True,1.0,2,,3,5,19,,True,1,1,51,2.04599528486,2.0,2.0,2.0,1.0,4,True,2,3
355,1,2,True,1.0,,True,False,True,1.0,3,1.0,3,8,74,,False,1,2,12,0.5577706329,1.0,1.0,3.0,3.0,1,False,2,3
356,1,2,False,,,False,False,False,,2,,1,2,30,,False,1,1,45,1.15497141762,,,2.0,1.0,1,True,1,3
364,2,3,True,1.0,,True,False,False,1.0,1,,2,3,99,3.0,False,9,1,18,1.3747396443,1.0,1.0,1.0,3.0,9,True,1,2
367,2,2,True,1.0,,False,True,False,1.0,2,,1,8,44,,False,1,1,37,0.52022340588,2.0,2.0,2.0,2.0,1,True,2,3
368,2,1,True,1.0,,False,False,False,3.0,3,3.0,2,5,60,,False,2,2,13,0.969211286650003,2.0,2.0,3.0,3.0,2,False,2,3
373,1,2,True,1.0,,False,False,True,1.0,3,3.0,3,5,42,,False,1,1,1,0.728957846550001,2.0,2.0,3.0,2.0,1,True,2,3
374,2,1,True,1.0,,False,True,True,1.0,9,3.0,3,7,72,,False,9,2,45,0.649008688,2.0,2.0,3.0,3.0,9,False,2,3
381,1,2,True,1.0,,True,False,True,1.0,1,,3,3,60,,False,1,1,24,1.29826662738,1.0,1.0,1.0,3.0,1,True,1,3
392,2,3,True,2.0,,False,False,True,3.0,2,,1,7,31,,False,1,1,17,0.70199176598,2.0,2.0,2.0,1.0,1,True,2,2
395,1,2,True,1.0,,False,True,True,1.0,2,,3,3,73,,False,1,2,55,1.4379646929,2.0,2.0,2.0,3.0,1,False,1,2
402,2,1,False,,,False,False,False,,3,3.0,3,5,75,,False,1,2,25,0.973415143049998,,,3.0,3.0,1,False,2,1
404,1,2,True,1.0,,False,False,True,2.0,2,,1,3,88,,False,1,2,42,1.50110174956,2.0,2.0,2.0,3.0,1,False,1,1
424,2,3,True,2.0,2.0,False,False,False,2.0,2,,1,7,24,,False,1,2,21,0.778439355,6.0,2.0,2.0,1.0,1,False,2,3
426,2,2,True,1.0,,False,True,True,1.0,3,1.0,3,7,51,,False,1,1,42,0.4883343957,2.0,2.0,3.0,2.0,1,True,2,1
