RESPID	PHTYPE	S1	S2	S3	S4	S5	S6	S7	S8	QX1	QX1A	QX2	QX3	QX3A	QX4	Q1	Q1A	Q1X	Q1Y	Q1Z	Q2	Q3	Q4A	Q4B	Q5	Q6	Q7	Q8	QD1	QD1A	QD2	QD3	QD4	QD4A	QD5	QD6	QD7	QD8	FINWGT
311	1	1	1	1	1	1	1	55	1	1		2	2			1					1	1	1	1	9	4	9	2	2		3	8	82		2	1	9	1	0.406284274
315	2	2	2	2	1	1	3	141	1	1		1	2			2					2	1	1	1	4	3	3	2	2		3	6	58		2	1	1	2	1.118540343
317	2	1	1	1	1	1	1	121	2	1		1	9	1									9	9	4	4	9	1	4	1	5	3	92		2	1	8	1	0.526607823
318	2	1	2	2	1	2	2	163	14	1		2	2			2					2	3	1	1	4	2	4	2	2		1	3	72		2	2	2	2	0.753791303
319	2	2	2	2	1	1	3	163	12	1		1	2			1					1	2	1	1	3	3	3	2	3	2	3	8	54		2	1	1	2	0.992778987
320	2	1	1	1	1	1	3	145	4	1		1	2			1					1	1	1	1	4	3	4	3	3	2	3	4	67		2	1	3	1	0.749990538
322	2	1	2	1	1	1	2	163	13	1		2	9	9									1	1	4	1	1	1	3	1	4	3	77		2	1	1	1	0.660345603
323	2	1	1	1	1	1	1	125	8	1		0	1										2	2	4	1	1	1	1		5	5	79		2	1	2	1	0.722140744
324	2	2	2	2	1	1	2	99	9	1		1	9	9									3	3	4	2	9	3	3	3	3	7	73		2	1	9	1	0.509464581
326	2	1	1	1	1	1	3	67	3	1		1	2			1					1	1	1	1	4	1	4	2	2		3	7	66		2	1	3	1	0.793474606
327	2	2	2	1	1	1	3	25	3	1		0	2					1			8	1	9	9	4	1	9	4	2		1	7	99	9	9	9	9	1	0.793474606
328	2	1	1	1	1	1	3	115	7	1		0	2					5	2		8	1	2	2	2	1	2	3	1		4	3	76		2	1	2	1	1.138199216
330	2	1	1	1	1	1	2	163	14	1		1	2			1					1	1	1	1	1	1	2	2	2		3	2	56		2	2	1	2	0.984843355
331	2	2	2	2	1	1	1	81	3	1		4			1								4	3	3	5	3	3	3	1	4	8	52		2	1	3	1	1.078363685
333	2	2	2	2	2	2	3	151	10	1		1	1										2	2	1	1	2	4	3	3	4	7	99	9	2	2	3	2	0.955041653
338	2	1	2	2	1	1	1	99	9	1		0	1										2	2	4	1	1	1	4	1	4	7	56		2	1	9	1	0.71974975
339	2	1	1	1	1	1	3	121	2	1		1	9	9									3	9	4	4	3	1	3	1	4	5	53		2	1	9	2	1.118540343
341	2	2	2	2	1	1	3	25	3	1		1	2			1					1	1	1	1	4	1	3	2	3	2	3	6	61		2	1	1	2	1.533861671
343	2	1	1	1	1	1	2	163	13	1		1	9	9									9	9	4	3	3	9	9	9	3	2	64		2	1	4	2	1.160765296
344	2	1	1	1	1	1	2	125	14	1		1	2			1					1	1	1	1	4	1	4	2	2		2	7	68		2	2	1	2	0.895544396
347	2	1	2	1	1	2	1	75	7	1		1	1										1	2	3	3	2	1	3	3	1	5	56		2	1	9	2	1.077004995
350	2	1	1	1	1	1	1	75	7	1		1	1										2	2	4	1	1	1	1		5	5	58		2	1	4	2	1.191916063
351	2	1	2	2	1	1	1	75	7	1		1	2			1					1	1	1	1	4	1	3	2	4	2	3	6	84		2	1	3	1	1.112026513
352	2	2	1	1	1	1	1	49	5	1		0	2					1			8	1	1	1	4	2	3	2	2		2	3	61		2	1	9	2	0.925679042
354	2	1	1	1	1	1	1	125	9	1		1	1										2	2	4	2	2	1	1		3	7	50		2	1	4	1	0.71974975
357	2	1	2	2	1	1	1	125	8	1		1	1										2	2	4	1	1	1	1		5	6	50		2	1	4	1	1.112026513
358	2	2	1	1	1	1	1	137	1	1		4			1								2	2	4	1	1	3	1		5	7	51		2	1	4	1	0.625638267
359	2	1	2	2	1	1	1	77	6	1		1	2			1					3	1	1	1	4	2	3	1	2		2	7	52		2	1	4	1	0.857941839
360	2	1	2	2	1	1	3	163	11	1		1	1										2	2	4	1	1	1	1		5	3	99	9	2	1	9	1	1.470399174
361	2	2	2	2	1	1	3	163	12	1		1	2			1					1	2	1	1	4	2	9	2	2		3	7	60		2	9	9	1	1.025061685
362	2	2	2	2	1	2	1	145	4	1		4			1								9	9	9	9	9	9	9	9	9	9	99	4	9	9	9	1	0.736740205
363	2	1	2	1	1	1	1	145	4	1		2	2			5					1	1	3	3	4	4	1	3	1		4	7	55		2	1	4	1	0.625638267
364	2	1	1	1	1	1	1	163	11	1		0	9										2	2	4	1	2	1	3	3	3	8	84		2	1	1	2	0.697082369
366	2	1	2	2	1	2	2	123	2	1		2	1										2	2	4	1	1	1	1		5	5	49		2	1	2	1	0.883906576
373	2	1	1	1	1	1	2	21	6	1		1	2			1					1	1	1	1	4	2	3	2	3	2	3	7	52		2	1	3	2	0.905703798
376	2	2	2	2	1	1	1	49	5	1		1	2			1					1	1	1	1	4	3	3	2	3	2	3	8	50		2	1	4	1	0.625638267
377	2	1	2	1	1	1	1	93	8	1		1	9	1									2	2	4	1	2	1	1		4	6	59		2	1	4	2	1.077004995
378	2	1	1	1	1	1	1	93	8	1		1	1										2	2	4	1	1	1	3	1	5	6	63		2	1	3	1	1.112026513
379	2	1	1	1	1	1	3	107	4	1		1	1										2	2	4	1	1	1	1		5	3	64		2	1	1	1	1.154912486
381	2	1	1	1	1	1	2	163	13	1		1	2			2					3	2	1	1	4	3	2	2	3	2	2	7	53		1	1	4	1	0.868230912
383	2	2	2	2	1	1	2	125	8	1		0	2					2			8	3	9	9	4	1	2	1	3	9	3	7	75		2	1	9	1	0.935155028
385	2	2	2	1	1	1	2	163	13	1		1	2			99	99				10	2	1	1	4	3	2	3	4	2	3	8	60		2	2	4	2	0.895544396
386	2	1	2	1	1	1	3	49	5	1		4			1								2	2	1	1	1	2	2		9	3	62		2	1	3	1	1.154912486
388	2	1	2	2	1	1	1	113	4	1		2	1										2	2	4	1	1	1	3	1	5	3	58		2	4	2	1	0.810924831
390	2	2	2	1	1	1	1	107	4	1		1	1										2	2	4	1	1	1	3	3	5	7	54		2	1	3	1	0.786376835
392	2	1	2	2	1	1	2	121	2	1		0	2					1			8	1	1	1	4	1	5	2	2		3	5	81		2	1	3	2	0.856069335
394	2	2	1	1	1	1	3	145	5	1		1	2			1					3	3	2	1	4	2	2	1	2		3	6	46		2	1	3	1	1.655241821
395	2	2	2	2	1	2	3	99	9	1		1	2			99	99				10	9	9	1	4	2	2	2	4	3	3	5	22		2	3	2	1	1.848173152
399	2	2	2	2	2	1	1	99	10	1		2	1										3	4	3	2	2	3	3	1	3	8	33		2	1	3	1	0.786376835
402	2	1	2	2	1	2	2	119	1	1		1	1										2	2	4	1	1	1	4	1	4	6	68		2	1	2	1	1.110999266
403	2	2	2	2	2	2	1	93	8	1		0	2					5	1	1	8	2	1	1	4	9	4	2	3	2	3	3	64		2	1	3	1	1.397727624
406	2	2	2	1	1	1	1	125	11	1		1	1										2	2	3	1	1	1	1		5	5	34		2	1	3	1	1.172590102
407	2	1	1	1	1	1	1	163	11	1		1	2			99	99				10	1	1	9	4	1	3	2	2		3	8	27		9	1	8	2	0.876176307
410	2	2	1	2	2	1	1	19	1	1		1	9	9									3	1	4	2	2	3	3	1	3	7	25		2	1	3	1	0.786376835
411	2	1	2	1	1	1	1	139	2	1		1	1										2	2	4	3	2	1	1		4	7	51		2	1	3	1	0.868436871
