RESPID	PHTYPE	Q1	Q2	Q3	Q4	Q5	Q6A	Q6B	Q6C	Q6D	Q6E	Q6F	Q7	Q8	Q9	Q9A.1	Q9A.2	Q9A.3	Q10A	Q10B	Q10C	Q10D	Q10E	Q10F	Q10G	QD1	Q11	Q12	Q12B	Q13	Q14	Q15	Q16	Q17	Q18	Q19	QD2	QD2A	QD3	QD4	QD5	QD5A	QD6	QD7	QD8	QD9	QD10	QD11	FINALWGT
565	1	1	1	20	3	2	1	1	1	2	3	3	1	1	2				2	2	2	2	2	1	2	1	1	1		1	4	1	3	2	1	1	1		5	3	69		2	2	1	2	2	39	1.278953712795
570	1	2	3	3	4	2	9	1	9	1	1	9	1	1	3				2	2	2	2	2	1	2	1	3	8	9	5	5	3	2	2	3	2	3	3	3	5	33		1	2	2	2	2	29	1.792758991
589	2	1	1	20	2	2	1	1	1	2	2	1	1	1	1	5			2	2	2	2	1	1	1	1	3	9	9	5	5	2	3	2	3	1	1		4	3	18		2	2	1	4	1	27	2.050305747105
592	1	2	2	14	2	3	1	2	1	1	2	9	3	3	1	18			1	2	2	1	2	1	1	1	1	2		4	2	2	2	1	2	2	2		3	7	77		2	2	1	2	1	17	0.545506396
601	2	1	1	20	3	1	1	1	2	2	2	1	1	1	1	2			2	1	2	2	2	2	1	1	1	8	1	1	4	1	1	2	1	1	3	1	5	3	64		2	2	1	2	1	55	1.148059212
611	2	1	1	20	3	3	1	1	1	2	2	1	1	1	3				2	2	2	2	2	2	2	1	1	1		2	4	2	1	3	1	1	3	1	5	8	62		2	2	1	4	2	17	0.604678218
628	1	2	1	20	1	4	1	2	9	1	1	2	3	3	3				2	2	2	2	2	1	2	2				5	1	9	3	3	1	2	2		5	3	53		2	2	2	8	2	47	2.324718707
629	1	2	2	1	1	4	2	2	2	2	3	2	3	3	1	2	8		2	1	1	2	2	1	1	1	1	2		4	1	2	3	1	2	2	2		1	5	50		1	2	2	2	1	47	1.239678453
635	1	1	1	20	4	1	1	1	1	2	3	1	1	3	1	14			2	2	2	2	1	1	1	1	1	1		1	4	1	3	1	3	1	1		1	3	50		2	2	1	3	2	21	1.73448446193001
637	1	2	2	20	1	2	2	2	2	2	2	2	3	3	1	2	8		2	1	2	2	2	2	1	1	1	2		4	2	2	1	1	2	2	2		2	5	59		2	2	2	2	2	39	1.110418686
638	2	1	2	3	1	1	1	1	1	1	1	1	1	1	1	18			2	1	2	1	2	1	2	1	1	8	9	1	1	4	2	1	1	2	2		3	1	63		2	2	2	1	1	17	1.546430286
648	1	1	1	9	3	2	1	1	2	2	1	1	1	2	2				2	2	2	2	2	2	1	1	1	1		1	3	2	3	3	1	1	1		3	3	66		2	2	1	3	1	17	1.15379950806
650	2	2	2	5	1	4	2	2	1	1	1	2	3	1	1	10			2	2	2	1	1	1	1	1	1	2		4	1	1	1	2	2	2	3	2	3	7	64		2	2	1	4	1	17	0.545506396
654	1	2	2	13	1	3	1	2	1	1	1	1	3	1	2				2	1	2	2	2	1	1	2				4	1	1	2	1	3	2	2		1	2	70		2	2	1	1	1	21	1.089506842
656	2	2	2	16	2	2	1	2	3	1	2	2	2	1	2				2	2	2	2	2	1	1	1	1	2		4	1	2	3	2	2	1	2		3	7	83		2	2	1	2	2	18	0.604678218
661	1	1	2	19	2	2	1	1	1	2	2	1	1	1	2				2	2	2	2	2	2	2	1	1	1		3	4	3	3	1	3	1	3	1	5	7	62		2	2	1	9	1	39	0.545506396
667	2	1	1	20	3	1	1	1	1	2	2	1	1	1	1	5			1	2	2	2	2	1	2	2				2	3	2	3	2	3	1	1		4	3	19		2	2	1	4	1	55	2.050305747105
670	2	2	2	9	1	4	1	3	3	3	2	2	3	3	1	2			2	2	2	2	2	1	1	2				4	4	3	1	3	3	2	3	2	2	7	24		2	2	1	3	1	21	0.657764379
678	1	1	1	20	2	3	1	1	1	2	2	1	3	3	1	10			2	2	2	2	2	1	1	1	1	1		1	4	1	1	1	1	1	1		5	7	68		2	2	1	3	2	28	0.576708111585
682	1	1	1	1	1	1	1	1	1	1	1	1	3	3	1	10			2	2	2	2	2	1	1	1	1	8	1	2	2	1	3	2	9	1	1		4	7	71		2	2	1	3	2	29	0.607701609089999
690	1	1	1	14	2	1	1	1	1	2	2	1	3	1	2				2	2	2	2	1	2	2	1	1	1		1	4	1	3	2	1	1	1		5	2	34		1	2	1	1	1	29	2.050305747105
698	2	1	1	5	3	1	1	1	1	1	1	1	1	1	2				2	2	2	2	2	2	2	1	1	1		1	4	2	3	2	3	1	1		3	7	65		2	2	1	3	1	37	0.52027335264
705	2	2	2	20	1	4	2	2	2	1	2	2	3	3	1	3			2	1	2	2	2	2	1	1	1	2		4	1	4	3	2	3	2	2		3	8	33		2	2	3	3	2	48	1.378183657
706	1	2	2	9	3	2	1	2	2	1	1	1	3	3	3				2	2	2	2	2	2	2	1	1	2		4	1	2	3	1	3	2	1		2	8	58		2	2	2	9	1	48	0.672924028740001
707	2	2	2	1	2	3	2	2	2	2	3	2	1	9	1	8			2	2	2	1	1	1	1	2				4	4	3	2	1	3	9	4	2	2	5	25		2	1	3	2	1	40	2.049690368
708	2	2	2	20	2	2	2	2	2	2	2	2	3	3	1	1	14	8	1	2	2	1	2	1	1	1	2	8	9	3	2	3	2	1	2	2	3	2	3	8	45		1	2	3	4	1	34	0.838640893
