age_recoded,male,education_recoded,race_recoded,STATEFIP,vote_choice_recoded,PERWT,STATEFP,state,e_votes,dem,republican,dem advantage,n,rating
1,True,3,1.0,48,1,7779.0,48,texas,40.0,38,41,-3,"14,138",Competitive
3,False,1,1.0,47,1,878369.0,47,tennessee,11.0,35,47,-12,"4,117",Solid Rep
2,True,3,1.0,13,0,6127.0,13,georgia,16.0,42,40,2,"5,458",Competitive
3,True,3,1.0,39,1,12927.0,39,ohio,17.0,41,42,-1,"6,319",Competitive
3,False,3,1.0,55,1,4834.0,55,wisconsin,10.0,43,41,2,"3,353",Competitive
3,False,1,1.0,36,0,2027722.0,36,new york,28.0,52,29,23,"10,864",Solid Dem
2,False,3,1.0,18,0,4770.0,18,indiana,11.0,41,43,-2,"3,578",Competitive
3,True,3,1.0,39,0,12927.0,39,ohio,17.0,41,42,-1,"6,319",Competitive
2,True,1,1.0,19,0,322970.0,19,iowa,6.0,42,42,0,"2,126",Competitive
2,False,3,1.0,9,1,1031.0,9,connecticut,7.0,51,32,19,"2,020",Solid Dem
2,True,3,3.0,42,0,2557.0,42,pennsylvania,19.0,46,41,5,"7,974",Competitive
2,True,3,1.0,39,0,7676.0,39,ohio,17.0,41,42,-1,"6,319",Competitive
2,True,1,1.0,39,0,1130065.0,39,ohio,17.0,41,42,-1,"6,319",Competitive
3,True,1,1.0,13,0,825031.0,13,georgia,16.0,42,40,2,"5,458",Competitive
3,True,3,1.0,12,0,18714.0,12,florida,30.0,42,39,3,"11,094",Competitive
2,False,3,3.0,48,0,8728.0,48,texas,40.0,38,41,-3,"14,138",Competitive
3,False,3,1.0,41,1,2769.0,41,oregon,8.0,49,36,13,"3,187",Solid Dem
2,False,3,1.0,17,1,5407.0,17,illinois,19.0,50,33,17,"5,712",Solid Dem
1,False,3,1.0,5,0,966.0,5,arkansas,6.0,36,45,-9,"1,883",Lean Rep
3,False,1,1.0,47,1,878369.0,47,tennessee,11.0,35,47,-12,"4,117",Solid Rep
2,False,1,1.0,42,1,1192358.0,42,pennsylvania,19.0,46,41,5,"7,974",Competitive
1,False,3,1.0,13,1,3449.0,13,georgia,16.0,42,40,2,"5,458",Competitive
2,True,3,1.0,48,1,11201.0,48,texas,40.0,38,41,-3,"14,138",Competitive
2,False,3,1.0,18,1,4770.0,18,indiana,11.0,41,43,-2,"3,578",Competitive
1,False,3,4.0,18,1,1171.0,18,indiana,11.0,41,43,-2,"3,578",Competitive
3,True,1,1.0,50,1,97549.0,50,vermont,3.0,52,30,22,496,Solid Dem
2,False,1,9.0,36,1,65644.0,36,new york,28.0,52,29,23,"10,864",Solid Dem
1,False,1,9.0,39,1,49419.0,39,ohio,17.0,41,42,-1,"6,319",Competitive
2,False,1,4.0,13,0,117519.0,13,georgia,16.0,42,40,2,"5,458",Competitive
1,False,1,1.0,55,1,473586.0,55,wisconsin,10.0,43,41,2,"3,353",Competitive
3,False,1,1.0,42,0,1896197.0,42,pennsylvania,19.0,46,41,5,"7,974",Competitive
