STATEFIP,age_recoded,race_recoded,male,education_recoded,PERWT,prop
8,3,4,True,3,7449.0,2.940821957012905e-05
8,3,9,False,1,15459.0,6.1031234573046716e-05
8,3,9,False,3,504.0,1.989762741756617e-06
8,3,9,True,1,13422.0,5.2989276825113725e-05
8,3,9,True,3,80.0,3.158353558343837e-07
9,1,1,False,1,223138.0,0.0008809358703771588
9,1,1,False,3,1093.0,4.315100549087267e-06
9,1,1,True,1,234842.0,0.0009271425829357291
9,1,1,True,3,838.0,3.3083753523651694e-06
9,1,2,False,1,46282.0,0.00018271864923408683
9,1,2,False,3,538.0,2.12399276798623e-06
9,1,2,True,1,46916.0,0.00018522164442907432
9,1,2,True,3,682.0,2.692496408488121e-06
9,1,3,False,1,22048.0,8.704422406795614e-05
9,1,3,False,3,90.0,3.5531477531368164e-07
9,1,3,True,1,22657.0,8.944852071424539e-05
9,1,3,True,3,125.0,4.934927434912245e-07
9,1,4,False,1,77609.0,0.00030639582663688356
9,1,4,False,3,1069.0,4.220349942336952e-06
9,1,4,True,1,81939.0,0.0003234904152714196
9,1,4,True,3,1509.0,5.957444399426062e-06
9,1,9,False,1,14137.0,5.581205531788353e-05
9,1,9,False,3,15.0,5.921912921894694e-08
9,1,9,True,1,13264.0,5.2365501997340815e-05
9,1,9,True,3,128.0,5.053365693350139e-07
9,2,1,False,1,298874.0,0.00117993720174557
9,2,1,False,3,1031.0,4.0703281483156196e-06
9,2,1,True,1,288658.0,0.001139605026805519
9,2,1,True,3,1857.0,7.331328197305632e-06
9,2,2,False,1,50797.0,0.00020054360712898984
9,2,2,False,3,750.0,2.960956460947347e-06
9,2,2,True,1,44578.0,0.00017599135615481445
9,2,2,True,3,776.0,3.063602951593522e-06
9,2,3,False,1,26647.0,0.00010520080908648528
9,2,3,False,3,663.0,2.6174855114774547e-06
9,2,3,True,1,23789.0,9.391759099930192e-05
9,2,3,True,3,393.0,1.55154118553641e-06
9,2,4,False,1,78552.0,0.00031011873589378136
9,2,4,False,3,2372.0,9.364518300489477e-06
9,2,4,True,1,74096.0,0.0002925267065738062
9,2,4,True,3,3609.0,1.4248122490078634e-05
9,2,9,False,1,11999.0,4.737135543320962e-05
9,2,9,False,3,218.0,8.606513446486956e-07
9,2,9,True,1,10512.0,4.1500765756638016e-05
9,2,9,True,3,134.0,5.290242210225927e-07
9,3,1,False,1,486865.0,0.0019221147564788402
9,3,1,False,3,5653.0,2.231771583164714e-05
9,3,1,True,1,415950.0,0.0016421464532413988
9,3,1,True,3,4722.0,1.8642181878124498e-05
9,3,2,False,1,46863.0,0.00018501240350583405
9,3,2,False,3,1195.0,4.717790627776107e-06
9,3,2,True,1,34354.0,0.00013562759767918022
9,3,2,True,3,1333.0,5.262606616590418e-06
9,3,3,False,1,15292.0,6.0371928267742446e-05
9,3,3,False,3,1208.0,4.769113873099194e-06
9,3,3,True,1,13121.0,5.1800946298786854e-05
