STATEFIP,age_recoded,race_recoded,male,education_recoded,PERWT,STATEFP,state,e_votes,dem,republican,dem advantage,n,rating
6,1,2,False,1,269120.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,1,2,False,3,1555.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,1,2,True,1,295572.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,1,2,True,3,1991.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,1,3,False,1,700848.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,1,3,False,3,7421.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,1,3,True,1,700970.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,1,3,True,3,6338.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,1,4,False,1,2063910.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,1,4,False,3,29085.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,1,4,True,1,2181161.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,1,4,True,3,43275.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,1,9,False,1,211638.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,1,9,False,3,1509.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,1,9,True,1,216327.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,1,9,True,3,1529.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,2,1,False,1,1772577.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,2,1,False,3,11143.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,2,1,True,1,1874797.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,2,1,True,3,13730.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,2,2,False,1,279432.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,2,2,False,3,2741.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,2,2,True,1,279603.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,2,2,True,3,3681.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,2,3,False,1,890738.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,2,3,False,3,27503.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,2,3,True,1,768933.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,2,3,True,3,20057.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,2,4,False,1,1830535.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,2,4,False,3,140786.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,2,4,True,1,1872321.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,2,4,True,3,154912.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,2,9,False,1,167282.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,2,9,False,3,2580.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,2,9,True,1,165848.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,2,9,True,3,2447.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,3,1,False,1,2850214.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,3,1,False,3,31533.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,3,1,True,1,2566807.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,3,1,True,3,22499.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,3,2,False,1,310753.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,3,2,False,3,6422.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,3,2,True,1,258441.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,3,2,True,3,3986.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,3,3,False,1,825874.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,3,3,False,3,93163.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,3,3,True,1,661802.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,3,3,True,3,54572.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,3,4,False,1,1069541.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,3,4,False,3,245316.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,3,4,True,1,936823.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,3,4,True,3,197678.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,3,9,False,1,130368.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,3,9,False,3,4217.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,3,9,True,1,111734.0,6,california,54.0,51,30,21,"18,168",Solid Dem
6,3,9,True,3,2321.0,6,california,54.0,51,30,21,"18,168",Solid Dem
8,1,1,False,1,425037.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,1,1,False,3,1593.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,1,1,True,1,465746.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,1,1,True,3,2419.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,1,2,False,1,28189.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,1,2,False,3,477.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,1,2,True,1,35328.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,1,2,True,3,610.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,1,3,False,1,26131.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,1,3,False,3,546.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,1,3,True,1,24641.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,1,3,True,3,425.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,1,4,False,1,161649.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,1,4,False,3,2507.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,1,4,True,1,177452.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,1,4,True,3,3734.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,1,9,False,1,29138.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,1,9,False,3,247.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,1,9,True,1,28652.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,1,9,True,3,194.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,2,1,False,1,499071.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,2,1,False,3,1284.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,2,1,True,1,519848.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,2,1,True,3,2363.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,2,2,False,1,26027.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,2,2,False,3,1174.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,2,2,True,1,32375.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
8,2,2,True,3,490.0,8,colorado,10.0,46,37,9,"3,574",Lean Dem
