"","STATEFIP","male","race_recoded","education_recoded","age_recoded","mean","lower","upper"
"1715","33","True","1","3","1",2.89164968051015e-06,2.0822673425833e-06,3.66791198422025e-06
"1716","33","False","2","1","1",2.08725530110377e-05,1.89755663534762e-05,2.27737322303823e-05
"1717","33","False","2","3","1",1.31504543768854e-06,1.03628136843661e-06,1.57994581823604e-06
"1718","33","True","2","1","1",2.44491258796625e-05,2.21118932823782e-05,2.67509043375877e-05
"1719","33","False","3","1","1",4.0850617898338e-05,3.55330953188927e-05,4.63020515421888e-05
"1720","33","False","3","3","1",1.03124143017199e-06,7.8547654733121e-07,1.27478258499783e-06
"1721","33","True","3","1","1",3.6369063851368e-05,3.14721382182433e-05,4.14231774641988e-05
"1722","33","True","3","3","1",6.44287610333784e-08,4.81598926262649e-08,7.98761776062502e-08
"1723","33","False","4","1","1",4.88700802221972e-05,4.32827016652135e-05,5.46080458589203e-05
"1724","33","False","4","3","1",6.37544131868457e-07,4.71940311175392e-07,7.94124725639523e-07
"1725","33","True","4","1","1",5.85512669343417e-05,5.19959154869446e-05,6.54211700092233e-05
"1726","33","True","4","3","1",1.20108832690398e-06,8.85064371481837e-07,1.50212367811183e-06
"1727","33","False","9","1","1",2.9191247083037e-05,2.57421173828885e-05,3.2834309888092e-05
"1728","33","False","9","3","1",1.61001843721256e-07,1.25698143107015e-07,1.95394431141193e-07
"1729","33","True","9","1","1",3.46039993181229e-05,3.04234259860886e-05,3.88874595519095e-05
"1730","33","False","1","1","2",0.000921474907623585,0.000832827173475416,0.00101632037769376
"1731","33","False","1","3","2",2.95810953620668e-06,2.10489404624286e-06,3.77417973748992e-06
"1732","33","True","1","1","2",0.000850760744505733,0.000766206155635589,0.000940705244160778
"1733","33","True","1","3","2",4.88141657036839e-06,3.39033288677498e-06,6.27860602187624e-06
"1734","33","False","2","1","2",1.2947993182623e-05,1.17044137049325e-05,1.41501597028727e-05
"1735","33","False","2","3","2",1.24869476301205e-06,9.64406527887647e-07,1.51720067617028e-06
"1736","33","True","2","1","2",2.35023920994442e-05,2.12341257888336e-05,2.57757342360351e-05
"1737","33","True","2","3","2",8.38423428547916e-07,6.36823758040896e-07,1.0240307923238e-06
"1738","33","False","3","1","2",5.02054498175892e-05,4.30913695355833e-05,5.74854645529179e-05
"1739","33","False","3","3","2",1.3960174956152e-06,1.03285817787018e-06,1.74288337020107e-06
"1740","33","True","3","1","2",3.68228804672633e-05,3.13493126181103e-05,4.23300502089512e-05
"1741","33","True","3","3","2",1.25129505091898e-06,9.11377618295727e-07,1.57484932767368e-06
"1742","33","False","4","1","2",4.23782542629211e-05,3.72097375420604e-05,4.7711205117864e-05
"1743","33","False","4","3","2",1.0827652922595e-06,7.77535105452845e-07,1.36863548008981e-06
"1744","33","True","4","1","2",4.02229404893107e-05,3.53364687187385e-05,4.53666496502229e-05
"1745","33","True","4","3","2",6.82963581220815e-07,4.82198088048146e-07,8.72135265419023e-07
"1746","33","False","9","1","2",2.47364446745312e-05,2.16004606489543e-05,2.79442753649829e-05
"1747","33","False","9","3","2",1.34520504541063e-07,1.03404194803536e-07,1.65421235712728e-07
"1748","33","True","9","1","2",2.497211837828e-05,2.18370005852395e-05,2.82322824283046e-05
"1749","33","False","1","1","3",0.00139084426800478,0.00126894938379928,0.00152161999901807
"1750","33","False","1","3","3",9.15747872537398e-06,6.53689308590069e-06,1.16112095809083e-05
"1751","33","True","1","1","3",0.00119808998088147,0.00108352218592552,0.00131648300858878
"1752","33","True","1","3","3",8.99819135380257e-06,6.25103344853413e-06,1.15360912449618e-05
"1753","33","False","2","1","3",7.81121538341914e-06,7.1281654225718e-06,8.49747924237888e-06
"1754","33","False","2","3","3",1.79178676334937e-06,1.38537601439027e-06,2.17006680259711e-06
